Region,Country/Area,Year,Series,Value,Footnotes,Source
2,Africa,2017,Changes in stocks (petajoules),-130,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2018,Changes in stocks (petajoules),-56,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2019,Changes in stocks (petajoules),86,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,1995,Total supply (petajoules),"18,925",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2000,Total supply (petajoules),"21,062",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2005,Total supply (petajoules),"24,515",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2010,Total supply (petajoules),"28,164",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2015,Total supply (petajoules),"31,180",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2017,Total supply (petajoules),"32,610",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2018,Total supply (petajoules),"32,665",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2019,Total supply (petajoules),"34,302",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,1995,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2000,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2005,Supply per capita (gigajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2010,Supply per capita (gigajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2015,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2017,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2018,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
2,Africa,2019,Supply per capita (gigajoules),26,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,1995,Primary energy production (petajoules),"93,937",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2000,Primary energy production (petajoules),"96,725",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2005,Primary energy production (petajoules),"98,771",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2010,Primary energy production (petajoules),"101,208",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
